ORDERNUMBER,ORDERDATE,STATUS,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES,CUSTOMERNAME,CITY,COUNTRY,DEALSIZE,STATE,TERRITORY,YEAR,MONTH,REVENUE
10341,2004-11-24,Shipped,Motorcycles,41,100.0,7737.93,Salzburg Collectables,Salzburg,AUSTRIA,Large,Unknown,EMEA,2004,11,4100.0
10361,2004-12-17,Shipped,Motorcycles,20,72.55,1451.0,Souveniers And Things Co.,Chatswood,AUSTRALIA,Small,NSW,APAC,2004,12,1451.0
10375,2005-02-03,Shipped,Motorcycles,21,34.91,733.11,La Rochelle Gifts,Nantes,FRANCE,Small,Unknown,EMEA,2005,2,733.1099999999999
10388,2005-03-03,Shipped,Motorcycles,42,76.36,3207.12,FunGiftIdeas.com,New Bedford,USA,Medium,MA,Unknown,2005,3,3207.12
10403,2005-04-08,Shipped,Motorcycles,24,100.0,2434.56,"UK Collectables, Ltd.",Liverpool,UK,Small,Unknown,EMEA,2005,4,2400.0
10417,2005-05-13,Disputed,Motorcycles,66,100.0,7516.08,Euro Shopping Channel,Madrid,SPAIN,Large,Unknown,EMEA,2005,5,6600.0
10103,2003-01-29,Shipped,Classic Cars,26,100.0,5404.62,Baane Mini Imports,Stavern,NORWAY,Medium,Unknown,EMEA,2003,1,2600.0
10112,2003-03-24,Shipped,Classic Cars,29,100.0,7209.11,"Volvo Model Replicas, Co",Lule,SWEDEN,Large,Unknown,EMEA,2003,3,2900.0
10126,2003-05-28,Shipped,Classic Cars,38,100.0,7329.06,"Corrida Auto Replicas, Ltd",Madrid,SPAIN,Large,Unknown,EMEA,2003,5,3800.0
10140,2003-07-24,Shipped,Classic Cars,37,100.0,7374.1,Technics Stores Inc.,Burlingame,USA,Large,CA,Unknown,2003,7,3700.0
10150,2003-09-19,Shipped,Classic Cars,45,100.0,10993.5,"Dragon Souveniers, Ltd.",Singapore,SINGAPORE,Large,Unknown,Japan,2003,9,4500.0
10163,2003-10-20,Shipped,Classic Cars,21,100.0,4860.24,Classic Legends Inc.,NYC,USA,Medium,NY,Unknown,2003,10,2100.0
10174,2003-11-06,Shipped,Classic Cars,34,100.0,8014.82,"Australian Gift Network, Co",South Brisbane,AUSTRALIA,Large,Queensland,APAC,2003,11,3400.0
10183,2003-11-13,Shipped,Classic Cars,23,100.0,5372.57,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium,PA,Unknown,2003,11,2300.0
10194,2003-11-25,Shipped,Classic Cars,42,100.0,7290.36,"Saveley & Henriot, Co.",Lyon,FRANCE,Large,Unknown,EMEA,2003,11,4200.0
10206,2003-12-05,Shipped,Classic Cars,47,100.0,9064.89,Canadian Gift Exchange Network,Vancouver,CANADA,Large,BC,Unknown,2003,12,4700.0
10215,2004-01-29,Shipped,Classic Cars,35,100.0,6075.3,West Coast Collectables Co.,Burbank,USA,Medium,CA,Unknown,2004,1,3500.0
10228,2004-03-10,Shipped,Classic Cars,29,100.0,6463.23,Cambridge Collectables Co.,Cambridge,USA,Medium,MA,Unknown,2004,3,2900.0
10245,2004-05-04,Shipped,Classic Cars,34,100.0,6120.34,Super Scale Inc.,New Haven,USA,Medium,CT,Unknown,2004,5,3400.0
10258,2004-06-15,Shipped,Classic Cars,32,100.0,7680.64,"Tokyo Collectables, Ltd",Minato-ku,JAPAN,Large,Tokyo,Japan,2004,6,3200.0
10270,2004-07-19,Shipped,Classic Cars,21,100.0,4905.39,Souveniers And Things Co.,Chatswood,AUSTRALIA,Medium,NSW,APAC,2004,7,2100.0
10280,2004-08-17,Shipped,Classic Cars,34,100.0,8014.82,Amica Models & Co.,Torino,ITALY,Large,Unknown,EMEA,2004,8,3400.0
10291,2004-09-08,Shipped,Classic Cars,37,100.0,7136.19,Scandinavian Gift Ideas,Boras,SWEDEN,Large,Unknown,EMEA,2004,9,3700.0
10304,2004-10-11,Shipped,Classic Cars,47,100.0,10172.7,Auto Assoc. & Cie.,Versailles,FRANCE,Large,Unknown,EMEA,2004,10,4700.0
10312,2004-10-21,Shipped,Classic Cars,48,100.0,11623.7,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,CA,Unknown,2004,10,4800.0
10322,2004-11-04,Shipped,Classic Cars,40,100.0,6000.4,Online Diecast Creations Co.,Nashua,USA,Medium,NH,Unknown,2004,11,4000.0
10333,2004-11-18,Shipped,Classic Cars,26,100.0,3003.0,Mini Wheels Co.,San Francisco,USA,Medium,CA,Unknown,2004,11,2600.0
10347,2004-11-29,Shipped,Classic Cars,30,100.0,3944.7,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Medium,Victoria,APAC,2004,11,3000.0
10357,2004-12-10,Shipped,Classic Cars,32,100.0,5691.84,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,CA,Unknown,2004,12,3200.0
10369,2005-01-20,Shipped,Classic Cars,41,100.0,4514.92,Collectables For Less Inc.,Brickhaven,USA,Medium,MA,Unknown,2005,1,4100.0
10381,2005-02-17,Shipped,Classic Cars,36,100.0,8254.8,Corporate Gift Ideas Co.,San Francisco,USA,Large,CA,Unknown,2005,2,3600.0
10391,2005-03-09,Shipped,Classic Cars,24,100.0,2416.56,"Anna's Decorations, Ltd",North Sydney,AUSTRALIA,Small,NSW,APAC,2005,3,2400.0
10411,2005-05-01,Shipped,Classic Cars,23,100.0,4140.23,Quebec Home Shopping Network,Montreal,CANADA,Medium,Quebec,Unknown,2005,5,2300.0
10424,2005-05-31,In Process,Classic Cars,50,100.0,12001.0,Euro Shopping Channel,Madrid,SPAIN,Large,Unknown,EMEA,2005,5,5000.0
10107,2003-02-24,Shipped,Motorcycles,39,99.91,3896.49,Land of Toys Inc.,NYC,USA,Medium,NY,Unknown,2003,2,3896.49
10120,2003-04-29,Shipped,Motorcycles,29,96.34,2793.86,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Small,Victoria,APAC,2003,4,2793.86
10134,2003-07-01,Shipped,Motorcycles,27,100.0,3307.77,Lyon Souveniers,Paris,FRANCE,Medium,Unknown,EMEA,2003,7,2700.0
10145,2003-08-25,Shipped,Motorcycles,37,100.0,5192.95,Toys4GrownUps.com,Pasadena,USA,Medium,CA,Unknown,2003,8,3700.0
10159,2003-10-10,Shipped,Motorcycles,37,100.0,5016.83,Corporate Gift Ideas Co.,San Francisco,USA,Medium,CA,Unknown,2003,10,3700.0
10168,2003-10-28,Shipped,Motorcycles,27,100.0,3660.93,Technics Stores Inc.,Burlingame,USA,Medium,CA,Unknown,2003,10,2700.0
10180,2003-11-11,Shipped,Motorcycles,42,100.0,4695.6,Daedalus Designs Imports,Lille,FRANCE,Medium,Unknown,EMEA,2003,11,4200.0
10188,2003-11-18,Shipped,Motorcycles,38,96.34,3660.92,Herkku Gifts,Bergen,NORWAY,Medium,Unknown,EMEA,2003,11,3660.92
10201,2003-12-01,Shipped,Motorcycles,24,100.0,3025.92,Mini Wheels Co.,San Francisco,USA,Medium,CA,Unknown,2003,12,2400.0
10210,2004-01-12,Shipped,Motorcycles,23,100.0,3009.09,Osaka Souveniers Co.,Osaka,JAPAN,Medium,Osaka,Japan,2004,1,2300.0
10223,2004-02-20,Shipped,Motorcycles,47,100.0,5422.39,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Medium,Victoria,APAC,2004,2,4700.0
10236,2004-04-03,Shipped,Motorcycles,22,100.0,2852.08,Motor Mint Distributors Inc.,Philadelphia,USA,Small,PA,Unknown,2004,4,2200.0
10251,2004-05-18,Shipped,Motorcycles,44,100.0,5756.52,Tekni Collectables Inc.,Newark,USA,Medium,NJ,Unknown,2004,5,4400.0
10263,2004-06-28,Shipped,Motorcycles,40,100.0,4472.0,Gift Depot Inc.,Bridgewater,USA,Medium,CT,Unknown,2004,6,4000.0
10275,2004-07-23,Shipped,Motorcycles,22,100.0,2904.44,La Rochelle Gifts,Nantes,FRANCE,Small,Unknown,EMEA,2004,7,2200.0
10285,2004-08-27,Shipped,Motorcycles,47,100.0,6484.59,Marta's Replicas Co.,Cambridge,USA,Medium,MA,Unknown,2004,8,4700.0
10298,2004-09-27,Shipped,Motorcycles,39,96.34,3757.26,Atelier graphique,Nantes,FRANCE,Medium,Unknown,EMEA,2004,9,3757.26
10308,2004-10-15,Shipped,Motorcycles,34,100.0,4043.96,Mini Classics,White Plains,USA,Medium,NY,Unknown,2004,10,3400.0
10318,2004-11-02,Shipped,Motorcycles,45,100.0,5566.5,Diecast Classics Inc.,Allentown,USA,Medium,PA,Unknown,2004,11,4500.0
10329,2004-11-15,Shipped,Motorcycles,20,100.0,3176.0,Land of Toys Inc.,NYC,USA,Medium,NY,Unknown,2004,11,2000.0
10339,2004-11-23,Shipped,Motorcycles,40,68.92,2756.8,"Tokyo Collectables, Ltd",Minato-ku,JAPAN,Small,Tokyo,Japan,2004,11,2756.8
10361,2004-12-17,Shipped,Motorcycles,26,51.15,1329.9,Souveniers And Things Co.,Chatswood,AUSTRALIA,Small,NSW,APAC,2004,12,1329.8999999999999
10374,2005-02-02,Shipped,Motorcycles,39,100.0,5288.01,"Australian Gift Network, Co",South Brisbane,AUSTRALIA,Medium,Queensland,APAC,2005,2,3900.0
10388,2005-03-03,Shipped,Motorcycles,50,44.51,2225.5,FunGiftIdeas.com,New Bedford,USA,Small,MA,Unknown,2005,3,2225.5
10402,2005-04-07,Shipped,Motorcycles,45,100.0,5833.8,Auto Canal Petit,Paris,FRANCE,Medium,Unknown,EMEA,2005,4,4500.0
10417,2005-05-13,Disputed,Motorcycles,45,100.0,5887.35,Euro Shopping Channel,Madrid,SPAIN,Medium,Unknown,EMEA,2005,5,4500.0
10107,2003-02-24,Shipped,Motorcycles,27,100.0,6065.55,Land of Toys Inc.,NYC,USA,Medium,NY,Unknown,2003,2,2700.0
10120,2003-04-29,Shipped,Motorcycles,46,100.0,9264.86,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Large,Victoria,APAC,2003,4,4600.0
10134,2003-07-01,Shipped,Motorcycles,31,100.0,7023.98,Lyon Souveniers,Paris,FRANCE,Large,Unknown,EMEA,2003,7,3100.0
10145,2003-08-25,Shipped,Motorcycles,33,100.0,5176.38,Toys4GrownUps.com,Pasadena,USA,Medium,CA,Unknown,2003,8,3300.0
10159,2003-10-10,Shipped,Motorcycles,22,100.0,4132.7,Corporate Gift Ideas Co.,San Francisco,USA,Medium,CA,Unknown,2003,10,2200.0
10168,2003-10-28,Shipped,Motorcycles,20,100.0,4183.0,Technics Stores Inc.,Burlingame,USA,Medium,CA,Unknown,2003,10,2000.0
10180,2003-11-11,Shipped,Motorcycles,41,100.0,8892.9,Daedalus Designs Imports,Lille,FRANCE,Large,Unknown,EMEA,2003,11,4100.0
10188,2003-11-18,Shipped,Motorcycles,45,100.0,8714.7,Herkku Gifts,Bergen,NORWAY,Large,Unknown,EMEA,2003,11,4500.0
10201,2003-12-01,Shipped,Motorcycles,49,100.0,8065.89,Mini Wheels Co.,San Francisco,USA,Large,CA,Unknown,2003,12,4900.0
10210,2004-01-12,Shipped,Motorcycles,34,100.0,6123.4,Osaka Souveniers Co.,Osaka,JAPAN,Medium,Osaka,Japan,2004,1,3400.0
10223,2004-02-20,Shipped,Motorcycles,49,100.0,9774.03,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Large,Victoria,APAC,2004,2,4900.0
10237,2004-04-05,Shipped,Motorcycles,39,100.0,7023.9,Vitachrome Inc.,NYC,USA,Large,NY,Unknown,2004,4,3900.0
10251,2004-05-18,Shipped,Motorcycles,43,100.0,7078.23,Tekni Collectables Inc.,Newark,USA,Large,NJ,Unknown,2004,5,4300.0
10263,2004-06-28,Shipped,Motorcycles,41,100.0,8336.94,Gift Depot Inc.,Bridgewater,USA,Large,CT,Unknown,2004,6,4100.0
10275,2004-07-23,Shipped,Motorcycles,36,100.0,6901.92,La Rochelle Gifts,Nantes,FRANCE,Medium,Unknown,EMEA,2004,7,3600.0
10285,2004-08-27,Shipped,Motorcycles,27,100.0,5438.07,Marta's Replicas Co.,Cambridge,USA,Medium,MA,Unknown,2004,8,2700.0
10299,2004-09-30,Shipped,Motorcycles,29,100.0,6683.34,"Toys of Finland, Co.",Helsinki,FINLAND,Medium,Unknown,EMEA,2004,9,2900.0
10308,2004-10-15,Shipped,Motorcycles,20,100.0,4570.4,Mini Classics,White Plains,USA,Medium,NY,Unknown,2004,10,2000.0
10318,2004-11-02,Shipped,Motorcycles,37,100.0,7667.14,Diecast Classics Inc.,Allentown,USA,Large,PA,Unknown,2004,11,3700.0
10329,2004-11-15,Shipped,Motorcycles,26,100.0,5868.2,Land of Toys Inc.,NYC,USA,Medium,NY,Unknown,2004,11,2600.0
10339,2004-11-23,Shipped,Motorcycles,39,76.67,2990.13,"Tokyo Collectables, Ltd",Minato-ku,JAPAN,Small,Tokyo,Japan,2004,11,2990.13
10362,2005-01-05,Shipped,Motorcycles,22,100.0,3664.1,Technics Stores Inc.,Burlingame,USA,Medium,CA,Unknown,2005,1,2200.0
10374,2005-02-02,Shipped,Motorcycles,22,100.0,3834.38,"Australian Gift Network, Co",South Brisbane,AUSTRALIA,Medium,Queensland,APAC,2005,2,2200.0
10388,2005-03-03,Shipped,Motorcycles,21,86.77,1822.17,FunGiftIdeas.com,New Bedford,USA,Small,MA,Unknown,2005,3,1822.1699999999998
10403,2005-04-08,Shipped,Motorcycles,66,100.0,11886.6,"UK Collectables, Ltd.",Liverpool,UK,Large,Unknown,EMEA,2005,4,6600.0
10417,2005-05-13,Disputed,Motorcycles,56,100.0,9218.16,Euro Shopping Channel,Madrid,SPAIN,Large,Unknown,EMEA,2005,5,5600.0
10105,2003-02-11,Shipped,Classic Cars,50,100.0,7208.0,Danish Wholesale Imports,Kobenhavn,DENMARK,Large,Unknown,EMEA,2003,2,5000.0
10119,2003-04-28,Shipped,Classic Cars,46,100.0,5004.8,Salzburg Collectables,Salzburg,AUSTRIA,Medium,Unknown,EMEA,2003,4,4600.0
10129,2003-06-12,Shipped,Classic Cars,33,100.0,4398.24,"Stylish Desk Decors, Co.",London,UK,Medium,Unknown,EMEA,2003,6,3300.0
10143,2003-08-10,Shipped,Classic Cars,49,100.0,5597.76,Mini Creations Ltd.,New Bedford,USA,Medium,MA,Unknown,2003,8,4900.0
10155,2003-10-06,Shipped,Classic Cars,32,100.0,4526.08,"Toys of Finland, Co.",Helsinki,FINLAND,Medium,Unknown,EMEA,2003,10,3200.0
10167,2003-10-23,Cancelled,Classic Cars,44,100.0,5924.16,Scandinavian Gift Ideas,Boras,SWEDEN,Medium,Unknown,EMEA,2003,10,4400.0
10178,2003-11-08,Shipped,Classic Cars,24,100.0,3492.48,Alpha Cognac,Toulouse,FRANCE,Medium,Unknown,EMEA,2003,11,2400.0
10186,2003-11-14,Shipped,Classic Cars,26,100.0,3854.24,"Double Decker Gift Stores, Ltd",London,UK,Medium,Unknown,EMEA,2003,11,2600.0
10197,2003-11-26,Shipped,Classic Cars,45,100.0,5324.4,Enaco Distributors,Barcelona,SPAIN,Medium,Unknown,EMEA,2003,11,4500.0
10209,2004-01-09,Shipped,Classic Cars,39,100.0,5197.92,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,Medium,CA,Unknown,2004,1,3900.0
10222,2004-02-19,Shipped,Classic Cars,49,100.0,5997.6,Collectable Mini Designs Co.,San Diego,USA,Medium,CA,Unknown,2004,2,4900.0
10248,2004-05-07,Cancelled,Classic Cars,20,100.0,2910.4,Land of Toys Inc.,NYC,USA,Small,NY,Unknown,2004,5,2000.0
10261,2004-06-17,Shipped,Classic Cars,27,100.0,3378.24,Quebec Home Shopping Network,Montreal,CANADA,Medium,Quebec,Unknown,2004,6,2700.0
10273,2004-07-21,Shipped,Classic Cars,30,100.0,3508.8,Petit Auto,Bruxelles,BELGIUM,Medium,Unknown,EMEA,2004,7,3000.0
10283,2004-08-20,Shipped,Classic Cars,25,100.0,2992.0,"Royal Canadian Collectables, Ltd.",Tsawassen,CANADA,Small,BC,Unknown,2004,8,2500.0
10295,2004-09-10,Shipped,Classic Cars,24,100.0,3427.2,Gifts4AllAges.com,Boston,USA,Medium,MA,Unknown,2004,9,2400.0
10307,2004-10-14,Shipped,Classic Cars,22,100.0,2692.8,"Classic Gift Ideas, Inc",Philadelphia,USA,Small,PA,Unknown,2004,10,2200.0
10316,2004-11-01,Shipped,Classic Cars,33,100.0,4128.96,giftsbymail.co.uk,Cowes,UK,Medium,Isle of Wight,EMEA,2004,11,3300.0
10325,2004-11-05,Shipped,Classic Cars,47,64.93,3051.71,Baane Mini Imports,Stavern,NORWAY,Medium,Unknown,EMEA,2004,11,3051.7100000000005
10337,2004-11-21,Shipped,Classic Cars,25,48.05,1201.25,Classic Legends Inc.,NYC,USA,Small,NY,Unknown,2004,11,1201.25
10350,2004-12-02,Shipped,Classic Cars,26,75.47,1962.22,Euro Shopping Channel,Madrid,SPAIN,Small,Unknown,EMEA,2004,12,1962.22
10359,2004-12-15,Shipped,Classic Cars,48,54.68,2624.64,Reims Collectables,Reims,FRANCE,Small,Unknown,EMEA,2004,12,2624.64
10373,2005-01-31,Shipped,Classic Cars,39,100.0,4046.25,"Oulu Toy Supplies, Inc.",Oulu,FINLAND,Medium,Unknown,EMEA,2005,1,3900.0
10384,2005-02-23,Shipped,Classic Cars,34,100.0,4846.7,Corporate Gift Ideas Co.,San Francisco,USA,Medium,CA,Unknown,2005,2,3400.0
10395,2005-03-17,Shipped,Classic Cars,32,100.0,3370.56,Lyon Souveniers,Paris,FRANCE,Medium,Unknown,EMEA,2005,3,3200.0
10400,2005-04-01,Shipped,Classic Cars,64,100.0,9661.44,The Sharp Gifts Warehouse,San Jose,USA,Large,CA,Unknown,2005,4,6400.0
10414,2005-05-06,On Hold,Classic Cars,19,100.0,2764.88,Gifts4AllAges.com,Boston,USA,Small,MA,Unknown,2005,5,1900.0
10103,2003-01-29,Shipped,Classic Cars,42,100.0,5398.26,Baane Mini Imports,Stavern,NORWAY,Medium,Unknown,EMEA,2003,1,4200.0
10114,2003-04-01,Shipped,Classic Cars,31,100.0,4305.28,"La Corne D'abondance, Co.",Paris,FRANCE,Medium,Unknown,EMEA,2003,4,3100.0
10126,2003-05-28,Shipped,Classic Cars,22,100.0,3347.74,"Corrida Auto Replicas, Ltd",Madrid,SPAIN,Medium,Unknown,EMEA,2003,5,2200.0
10140,2003-07-24,Shipped,Classic Cars,26,100.0,3188.12,Technics Stores Inc.,Burlingame,USA,Medium,CA,Unknown,2003,7,2600.0
10150,2003-09-19,Shipped,Classic Cars,20,100.0,3191.2,"Dragon Souveniers, Ltd.",Singapore,SINGAPORE,Medium,Unknown,Japan,2003,9,2000.0
10164,2003-10-21,Resolved,Classic Cars,21,100.0,3536.82,Mini Auto Werke,Graz,AUSTRIA,Medium,Unknown,EMEA,2003,10,2100.0
10175,2003-11-06,Shipped,Classic Cars,33,100.0,5362.83,"Stylish Desk Decors, Co.",London,UK,Medium,Unknown,EMEA,2003,11,3300.0
10183,2003-11-13,Shipped,Classic Cars,28,100.0,3433.36,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium,PA,Unknown,2003,11,2800.0
10194,2003-11-25,Shipped,Classic Cars,26,100.0,4263.74,"Saveley & Henriot, Co.",Lyon,FRANCE,Medium,Unknown,EMEA,2003,11,2600.0
10207,2003-12-09,Shipped,Classic Cars,31,100.0,4076.19,Diecast Collectables,Boston,USA,Medium,MA,Unknown,2003,12,3100.0
10217,2004-02-04,Shipped,Classic Cars,48,100.0,7020.48,Handji Gifts& Co,Singapore,SINGAPORE,Large,Unknown,APAC,2004,2,4800.0
10229,2004-03-11,Shipped,Classic Cars,50,100.0,6426.5,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,CA,Unknown,2004,3,5000.0
10245,2004-05-04,Shipped,Classic Cars,28,100.0,4591.72,Super Scale Inc.,New Haven,USA,Medium,CT,Unknown,2004,5,2800.0
10259,2004-06-15,Shipped,Classic Cars,26,100.0,4033.38,Handji Gifts& Co,Singapore,SINGAPORE,Medium,Unknown,APAC,2004,6,2600.0
10270,2004-07-19,Shipped,Classic Cars,32,100.0,4302.08,Souveniers And Things Co.,Chatswood,AUSTRALIA,Medium,NSW,APAC,2004,7,3200.0
10281,2004-08-19,Shipped,Classic Cars,44,100.0,7020.64,Diecast Classics Inc.,Allentown,USA,Large,PA,Unknown,2004,8,4400.0
10291,2004-09-08,Shipped,Classic Cars,30,100.0,3855.9,Scandinavian Gift Ideas,Boras,SWEDEN,Medium,Unknown,EMEA,2004,9,3000.0
10305,2004-10-13,Shipped,Classic Cars,38,100.0,6680.78,Marta's Replicas Co.,Cambridge,USA,Medium,MA,Unknown,2004,10,3800.0
10313,2004-10-22,Shipped,Classic Cars,40,100.0,6678.0,Canadian Gift Exchange Network,Vancouver,CANADA,Medium,BC,Unknown,2004,10,4000.0
10322,2004-11-04,Shipped,Classic Cars,46,61.99,2851.54,Online Diecast Creations Co.,Nashua,USA,Small,NH,Unknown,2004,11,2851.54
10334,2004-11-19,On Hold,Classic Cars,26,100.0,3188.12,"Volvo Model Replicas, Co",Lule,SWEDEN,Medium,Unknown,EMEA,2004,11,2600.0
10347,2004-11-29,Shipped,Classic Cars,27,100.0,4428.0,"Australian Collectors, Co.",Melbourne,AUSTRALIA,Medium,Victoria,APAC,2004,11,2700.0
10357,2004-12-10,Shipped,Classic Cars,43,100.0,5780.92,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium,CA,Unknown,2004,12,4300.0
10370,2005-01-20,Shipped,Classic Cars,35,65.63,2297.05,"Anna's Decorations, Ltd",North Sydney,AUSTRALIA,Small,NSW,APAC,2005,1,2297.0499999999997
10381,2005-02-17,Shipped,Classic Cars,37,100.0,6231.54,Corporate Gift Ideas Co.,San Francisco,USA,Medium,CA,Unknown,2005,2,3700.0
10391,2005-03-09,Shipped,Classic Cars,37,46.9,1735.3,"Anna's Decorations, Ltd",North Sydney,AUSTRALIA,Small,NSW,APAC,2005,3,1735.3
10411,2005-05-01,Shipped,Classic Cars,27,100.0,4427.73,Quebec Home Shopping Network,Montreal,CANADA,Medium,Quebec,Unknown,2005,5,2700.0
10425,2005-05-31,In Process,Classic Cars,38,100.0,5894.94,La Rochelle Gifts,Nantes,FRANCE,Medium,Unknown,EMEA,2005,5,3800.0
10108,2003-03-03,Shipped,Classic Cars,33,100.0,5265.15,Cruz & Sons Co.,Makati City,PHILIPPINES,Medium,Unknown,Japan,2003,3,3300.0
10122,2003-05-08,Shipped,Classic Cars,42,100.0,7599.9,Marseille Mini Autos,Marseille,FRANCE,Large,Unknown,EMEA,2003,5,4200.0
10135,2003-07-02,Shipped,Classic Cars,42,100.0,8008.56,Mini Gifts Distributors Ltd.,San Rafael,USA,Large,CA,Unknown,2003,7,4200.0
10147,2003-09-05,Shipped,Classic Cars,48,100.0,9245.76,Collectables For Less Inc.,Brickhaven,USA,Large,MA,Unknown,2003,9,4800.0
10159,2003-10-10,Shipped,Classic Cars,41,100.0,8296.35,Corporate Gift Ideas Co.,San Francisco,USA,Large,CA,Unknown,2003,10,4100.0
10169,2003-11-04,Shipped,Classic Cars,30,100.0,5019.9,"Anna's Decorations, Ltd",North Sydney,AUSTRALIA,Medium,NSW,APAC,2003,11,3000.0
10181,2003-11-12,Shipped,Classic Cars,27,100.0,5411.07,Herkku Gifts,Bergen,NORWAY,Medium,Unknown,EMEA,2003,11,2700.0
10191,2003-11-20,Shipped,Classic Cars,21,100.0,3840.9,"Toms Spezialitten, Ltd",Koln,GERMANY,Medium,Unknown,EMEA,2003,11,2100.0
10203,2003-12-02,Shipped,Classic Cars,20,100.0,3930.4,Euro Shopping Channel,Madrid,SPAIN,Medium,Unknown,EMEA,2003,12,2000.0
10211,2004-01-15,Shipped,Classic Cars,41,100.0,7498.9,Auto Canal Petit,Paris,FRANCE,Large,Unknown,EMEA,2004,1,4100.0
10225,2004-02-22,Shipped,Classic Cars,27,100.0,4517.91,"Vida Sport, Ltd",Gensve,SWITZERLAND,Medium,Unknown,EMEA,2004,2,2700.0
10238,2004-04-09,Shipped,Classic Cars,28,100.0,5774.72,Danish Wholesale Imports,Kobenhavn,DENMARK,Medium,Unknown,EMEA,2004,4,2800.0
10253,2004-06-01,Cancelled,Classic Cars,24,100.0,3922.56,"UK Collectables, Ltd.",Liverpool,UK,Medium,Unknown,EMEA,2004,6,2400.0
10266,2004-07-06,Shipped,Classic Cars,44,100.0,9160.36,L'ordine Souveniers,Reggio Emilia,ITALY,Large,Unknown,EMEA,2004,7,4400.0
